200,121,200,1844,200,1
400,1137,400,4298,400,54
600,2935,600,2845,600,137
800,4069,800,1532,800,217
1000,4863,1000,926,1000,235
1200,5490,1200,737,1200,278
1400,5723,1400,470,1400,312
1600,5979,1600,384,1600,318
1800,5967,1800,311,1800,322
2000,5834,2000,255,2000,331
2200,5815,2200,245,2200,310
2400,5923,2400,230,2400,326
2600,5722,2600,233,2600,326
2800,5657,2800,204,2800,307
3000,5630,3000,218,3000,316
3200,5563,3200,205,3200,291
3400,5470,3400,180,3400,314
3600,5399,3600,178,3600,312
3800,5414,3800,166,3800,288
4000,5326,4000,161,4000,289
4200,5203,4200,150,4200,268
4400,5102,4400,152,4400,268
4600,5001,4600,153,4600,281
4800,4933,4800,139,4800,272
5000,4800,5000,146,5000,298
5200,4674,5200,142,5200,303
5400,4475,5400,121,5400,279
5600,4527,5600,126,5600,288
5800,4457,5800,128,5800,265
6000,4609,6000,132,6000,264
6200,4283,6200,119,6200,242
6400,4209,6400,105,6400,258
6600,4174,6600,113,6600,221
6800,4094,6800,91,6800,218
7000,3933,7000,101,7000,229
7200,3835,7200,98,7200,222
7400,3886,7400,104,7400,242
7600,3785,7600,98,7600,219
7800,3694,7800,91,7800,226
8000,3701,8000,107,8000,239
8200,3639,8200,87,8200,190
8400,3557,8400,72,8400,195
8600,3466,8600,82,8600,193
8800,3531,8800,61,8800,220
9000,3311,9000,76,9000,210
9200,3329,9200,58,9200,186
9400,3296,9400,92,9400,187
9600,3138,9600,60,9600,169
9800,3144,9800,65,9800,178
10000,3206,10000,64,10000,183
10200,3139,10200,81,10200,202
10400,3101,10400,55,10400,187
10600,2996,10600,58,10600,165
10800,2990,10800,45,10800,153
11000,2804,11000,52,11000,181
11200,2837,11200,47,11200,165
11400,2806,11400,53,11400,145
11600,2719,11600,45,11600,155
11800,2691,11800,53,11800,157
12000,2610,12000,51,12000,119
12200,2551,12200,53,12200,178
12400,2592,12400,42,12400,130
12600,2471,12600,44,12600,147
12800,2433,12800,35,12800,135
13000,2493,13000,48,13000,126
13200,2412,13200,36,13200,129
13400,2414,13400,46,13400,124
13600,2246,13600,22,13600,118
13800,2148,13800,37,13800,116
14000,2124,14000,26,14000,114
14200,2123,14200,27,14200,113
14400,2155,14400,25,14400,122
14600,2057,14600,29,14600,105
14800,2045,14800,24,14800,115
15000,2034,15000,24,15000,89
15200,1993,15200,23,15200,100
15400,1942,15400,24,15400,103
15600,1959,15600,18,15600,96
15800,1931,15800,17,15800,101
16000,1921,16000,20,16000,100
16200,1799,16200,16,16200,91
16400,1813,16400,17,16400,74
16600,1715,16600,18,16600,108
16800,1756,16800,9,16800,81
17000,1667,17000,13,17000,96
17200,1640,17200,15,17200,86
17400,1611,17400,13,17400,70
17600,1614,17600,11,17600,83
17800,1501,17800,15,17800,62
18000,1479,18000,17,18000,76
18200,1442,18200,9,18200,73
18400,1414,18400,9,18400,95
18600,1433,18600,12,18600,72
18800,1365,18800,11,18800,62
19000,1458,19000,12,19000,66
19200,1369,19200,10,19200,59
19400,1330,19400,13,19400,63
19600,1241,19600,7,19600,63
19800,1270,19800,8,19800,62
20000,1258,20000,10,20000,49
20200,1279,20200,4,20200,58
20400,1186,20400,3,20400,55
20600,1154,20600,7,20600,71
20800,1183,20800,7,20800,46
21000,1126,21000,2,21000,56
21200,1124,21200,5,21200,68
21400,1080,21400,12,21400,37
21600,1064,21600,4,21600,56
21800,1008,21800,5,21800,59
22000,1023,22000,4,22000,53
22200,960,22200,5,22200,42
22400,946,22400,5,22400,42
22600,951,22600,4,22600,39
22800,931,22800,6,22800,38
23000,838,23000,6,23000,50
23200,911,23200,3,23200,48
23400,921,23400,4,23400,42
23600,786,23600,4,23600,23
23800,844,23800,1,23800,42
24000,797,24000,2,24000,27
24200,841,24200,1,24200,35
24400,796,24400,5,24400,35
24600,797,24600,1,24600,32
24800,705,24800,6,24800,30
25000,798,25000,3,25000,34
25200,730,25200,7,25200,19
25400,691,25400,2,25400,22
25600,757,25600,1,25600,33
25800,632,25800,2,25800,31
26000,697,26000,1,26000,33
26200,638,26200,1,26200,26
26400,667,26400,3,26400,28
26600,652,26600,3,26600,26
26800,609,26800,0,26800,26
27000,584,27000,4,27000,27
